Dates,PX_LAST,12MO_CALL_IMP_VOL,12MO_PUT_IMP_VOL
2004/10/22,19.45,19.435,19.124
2004/10/25,19.325,19.922,19.511
2004/10/26,19.65,19.415,19.266
2004/10/27,20.215,19.323,19.489
2004/10/28,20.245,19.828,19.359
2004/10/29,20.33,19.367,19.261
2004/11/1,20.265,19.536,19.273
2004/11/2,20.325,19.595,18.881
2004/11/3,20.425,19.092,18.931
2004/11/4,20.68,18.813,18.391
2004/11/5,20.7,18.666,18.701
2004/11/8,20.64,18.669,18.934
2004/11/9,20.62,18.92,18.449
2004/11/10,20.585,19.299,18.907
2004/11/11,20.48,18.538,18.779
2004/11/12,20.395,18.575,18.761
2004/11/15,20.29,18.59,18.983
2004/11/16,20.125,18.752,18.665
2004/11/17,20.14,18.96,19.194
2004/11/18,20.14,18.657,18.468
2004/11/19,19.865,18.99,18.927
2004/11/22,19.935,18.546,18.95
2004/11/23,19.855,18.142,18.171
2004/11/24,19.9,17.948,18.261
2004/11/25,19.9,17.948,18.261
2004/11/26,19.93,18.177,18.527
2004/11/29,19.855,19.288,18.038
2004/11/30,19.655,19.204,17.995
2004/12/1,19.885,18.863,18.014
2004/12/2,20.21,19.279,17.82
2004/12/3,20.355,19.197,17.95
2004/12/6,20.195,19.476,17.829
2004/12/7,20.08,19.351,17.528
2004/12/8,20.195,18.868,17.966
2004/12/9,20.405,18.607,17.869
2004/12/10,20.265,19.242,18.067
2004/12/13,20.43,19.101,17.955
2004/12/14,20.65,18.885,17.845
2004/12/15,20.735,18.909,17.906
2004/12/16,20.565,19.323,17.861
2004/12/17,20.475,19.521,17.402
2004/12/20,20.475,18.887,17.635
2004/12/21,20.5,18.403,17.466
2004/12/22,20.79,18.53,17.49
2004/12/23,20.755,18.584,17.346
2004/12/24,20.755,18.584,17.346
2004/12/27,20.825,18.587,17.613
2004/12/28,20.925,18.221,17.48
2004/12/29,20.78,18.672,17.451
2004/12/30,20.825,18.742,17.676
2004/12/31,20.82,18.87,17.924
2005/1/3,20.77,17.266,17.266
2005/1/4,20.48,17.691,17.691
2005/1/5,20.385,17.75,17.75
2005/1/6,20.555,17.8,17.8
2005/1/7,20.58,17.146,17.146
2005/1/10,20.695,16.899,16.899
2005/1/11,20.58,17.076,17.076
2005/1/12,20.58,17.037,17.037
2005/1/13,20.37,17.219,17.219
2005/1/14,20.485,16.934,16.934
2005/1/17,20.485,16.934,16.934
2005/1/18,20.625,16.918,16.918
2005/1/19,20.55,16.966,16.966
2005/1/20,20.665,16.826,16.826
2005/1/21,20.455,16.717,16.717
2005/1/24,20.48,16.609,16.609
2005/1/25,20.62,16.356,16.356
2005/1/26,20.84,16.069,16.069
2005/1/27,20.88,15.808,15.808
2005/1/28,20.745,16.013,16.013
2005/1/31,20.745,15.869,15.869
2005/2/1,20.71,15.705,15.705
2005/2/2,20.96,15.394,15.394
2005/2/3,20.87,15.77,15.77
2005/2/4,21.235,15.164,15.164
2005/2/7,21.245,15.317,15.317
2005/2/8,21.325,15.168,15.168
2005/2/9,21.38,14.899,14.899
2005/2/10,21.25,15.191,15.191
2005/2/11,21.38,14.838,14.838
2005/2/14,21.43,14.718,14.718
2005/2/15,21.325,15.026,15.026
2005/2/16,21.65,14.182,14.182
2005/2/17,21.5,14.387,14.387
2005/2/18,21.48,14.314,14.314
2005/2/21,21.48,14.314,14.314
2005/2/22,21.395,14.366,14.366
2005/2/23,21.29,14.225,14.225
2005/2/24,21.33,14.148,14.148
2005/2/25,21.51,14.01,14.01
2005/2/28,21.4,14.587,14.587
2005/3/1,21.635,14.462,14.462
2005/3/2,21.52,14.678,14.678
2005/3/3,21.59,14.649,14.649
2005/3/4,21.82,14.326,14.326
2005/3/7,21.86,13.983,13.983
2005/3/8,21.71,14.478,14.478
2005/3/9,21.605,14.422,14.422
2005/3/10,21.535,14.44,14.44
2005/3/11,21.24,14.855,14.855
2005/3/14,21.17,14.909,14.909
2005/3/15,21.12,15.114,15.114
2005/3/16,20.97,15.415,15.415
2005/3/17,21,15.405,15.405
2005/3/18,20.73,15.553,15.553
2005/3/21,20.8,15.812,15.812
2005/3/22,20.7,15.593,15.593
2005/3/23,20.59,15.916,15.916
2005/3/24,20.6,15.935,15.935
2005/3/25,20.6,15.935,15.935
2005/3/28,20.56,15.971,15.971
2005/3/29,20.695,15.804,15.804
2005/3/30,20.975,15.66,15.66
2005/3/31,20.835,15.791,15.791
2005/4/1,20.69,15.926,15.926
2005/4/4,20.735,15.883,15.883
2005/4/5,20.93,15.615,15.615
2005/4/6,20.855,15.709,15.709
2005/4/7,21.06,15.451,15.451
2005/4/8,21.05,15.216,15.216
2005/4/11,20.935,15.117,15.117
2005/4/12,21.165,17.444,17.444
2005/4/13,21.05,15.212,15.212
2005/4/14,21.035,15.21,15.21
2005/4/15,20.645,15.68,15.68
2005/4/18,20.485,16.136,16.136
2005/4/19,21.2,14.996,14.996
2005/4/20,20.94,16.034,16.034
2005/4/21,20.99,16.313,16.313
2005/4/22,21.065,16.135,16.135
2005/4/25,21.34,16.414,16.414
2005/4/26,21.48,16.355,16.355
2005/4/27,21.41,16.168,16.168
2005/4/28,21.345,17.164,17.164
2005/4/29,21.72,17.008,17.008
2005/5/2,21.785,17.053,17.053
2005/5/3,21.88,16.617,16.617
2005/5/4,21.965,16.754,16.754
2005/5/5,22.075,16.487,16.487
2005/5/6,22.095,16.41,16.41
