Dates,PX_LAST,12MO_CALL_IMP_VOL,12MO_PUT_IMP_VOL
2004/10/22,1.4,71.182,78.997
2004/10/25,1.427,71.222,80.002
2004/10/26,1.373,71.972,79.084
2004/10/27,1.383,72.008,78.404
2004/10/28,1.37,72.696,79.761
2004/10/29,1.353,71.999,79.042
2004/11/1,1.347,72.166,78.554
2004/11/2,1.416,69.981,76.75
2004/11/3,1.446,71.333,77.27
2004/11/4,1.51,69.553,76.905
2004/11/5,1.56,69.664,76.297
2004/11/8,1.551,67.823,76.838
2004/11/9,1.523,69.428,76.327
2004/11/10,1.483,68.989,77.243
2004/11/11,1.536,69.179,76.256
2004/11/12,1.551,67.087,76.008
2004/11/15,1.604,66.67,75.835
2004/11/16,1.546,66.035,76.139
2004/11/17,1.494,67.995,76.138
2004/11/18,1.703,67.871,76.278
2004/11/19,1.607,67.634,77.602
2004/11/22,1.616,68.485,75.45
2004/11/23,1.564,67.972,75.824
2004/11/24,1.623,67.679,75.752
2004/11/25,1.623,67.679,75.752
2004/11/26,1.621,70.327,76.422
2004/11/29,1.631,67.774,76.197
2004/11/30,1.626,65.122,78.411
2004/12/1,1.607,67.934,76.962
2004/12/2,1.621,68.268,76.344
2004/12/3,1.614,67.984,75.981
2004/12/6,1.6,67.973,76.804
2004/12/7,1.667,67.281,77.831
2004/12/8,1.616,68.996,77.252
2004/12/9,1.676,69.392,77.167
2004/12/10,1.677,68.617,76.965
2004/12/13,1.826,67.381,75.695
2004/12/14,1.8,68.151,77.02
2004/12/15,1.831,67.588,78.466
2004/12/16,1.909,68.675,80.875
2004/12/17,1.854,67.033,80.147
2004/12/20,1.814,65.697,80.879
2004/12/21,1.8,63.863,80.547
2004/12/22,1.671,64.488,81.188
2004/12/23,1.647,65.644,80.712
2004/12/24,1.647,65.644,80.712
2004/12/27,1.657,64.24,80.918
2004/12/28,1.729,63.882,80.668
2004/12/29,1.804,64.23,82.397
2004/12/30,1.811,65.093,82.731
2004/12/31,1.761,64.462,84.422
2005/1/3,1.703,75.244,75.244
2005/1/4,1.666,76.265,76.265
2005/1/5,1.6,77.239,77.239
2005/1/6,1.579,77.415,77.415
2005/1/7,1.589,77.684,77.684
2005/1/10,1.61,78.036,78.036
2005/1/11,1.573,78.875,78.875
2005/1/12,1.536,79.071,79.071
2005/1/13,1.551,80.426,80.426
2005/1/14,1.619,80.021,80.021
2005/1/17,1.619,80.021,80.021
2005/1/18,1.614,83.257,83.257
2005/1/19,1.581,83.176,83.176
2005/1/20,1.584,83.484,83.484
2005/1/21,1.577,83.484,83.484
2005/1/24,1.591,83.484,83.484
2005/1/25,1.619,83.484,83.484
2005/1/26,1.576,83.484,83.484
2005/1/27,1.601,83.484,83.484
2005/1/28,1.634,83.484,83.484
2005/1/31,1.643,83.484,83.484
2005/2/1,1.64,83.484,83.484
2005/2/2,1.603,83.484,83.484
2005/2/3,1.7,83.484,83.484
2005/2/4,1.717,83.484,83.484
2005/2/7,1.647,83.484,83.484
2005/2/8,1.643,83.484,83.484
2005/2/9,1.639,83.484,83.484
2005/2/10,1.619,83.484,83.484
2005/2/11,1.593,83.484,83.484
2005/2/14,1.594,83.484,83.484
2005/2/15,1.607,83.484,83.484
2005/2/16,1.564,83.484,83.484
2005/2/17,1.5,83.484,83.484
2005/2/18,1.524,83.484,83.484
2005/2/21,1.524,83.484,83.484
2005/2/22,1.459,83.484,83.484
2005/2/23,1.456,83.484,83.484
2005/2/24,1.486,83.484,83.484
2005/2/25,1.57,83.484,83.484
2005/2/28,1.529,83.484,83.484
2005/3/1,1.541,83.484,83.484
